자산군,분류,AUM,Fund_Flow,ff/aum,return_1w,return_1m
주식,DM,8794660.5,7474.0,0.08,-0.1,2.7
주식,EM,837185.9,911.3,0.11,1.4,3.5
주식,US,4778500.5,7600.2,0.16,-0.2,1.8
주식,Europe,132887.7,599.9,0.45,0.6,5.7
주식,Japan,596857.0,-447.9,-0.08,-2.0,-3.0
주식,China,322770.6,-30.7,-0.01,2.0,2.7
주식,Taiwan,78183.3,1049.0,1.34,-0.5,0.4
주식,Korea,10289.3,67.1,0.65,0.2,0.0
주식,India,82968.2,-189.5,-0.23,0.5,-0.4
주식,Growth,1557213.8,2385.7,0.15,0.0,1.9
주식,Value,1121731.3,1853.0,0.17,0.1,3.8
주식,Large,7406825.8,10442.8,0.14,0.1,2.7
주식,Mid,432031.1,1084.8,0.25,-0.1,3.4
주식,Small,509478.9,-561.9,-0.11,-0.0,2.6
주식,Communication,39159.3,230.6,0.59,2.7,4.1
주식,Discretionary,37742.8,-31.7,-0.08,-1.9,2.9
주식,Staples,25143.2,-279.6,-1.11,0.8,3.6
주식,Energy,68550.2,-542.5,-0.79,0.7,0.4
주식,Financial,117627.9,1239.3,1.05,0.6,6.0
주식,Healthcare,96216.4,-1442.1,-1.5,-0.2,4.0
주식,Industrial,54177.3,-354.0,-0.65,-0.7,3.0
주식,Materials,38862.1,222.3,0.57,0.8,5.7
주식,Technology,389117.2,-3670.4,-0.94,0.8,-1.3
주식,Utilites,31449.4,89.3,0.28,-0.2,1.9
채권,Agg,748498.6,3044.3,0.41,0.4,1.4
채권,Bank_loan,27109.9,47.8,0.18,-0.0,0.4
채권,Convertible,13439.6,28.9,0.22,0.2,2.4
채권,Corporate,576746.2,1553.3,0.27,-0.0,0.5
채권,Government,674418.5,2316.3,0.34,0.6,2.1
채권,Inflation_protected,69131.2,324.4,0.47,0.4,1.7
채권,Mortgage_Backed,78904.1,140.0,0.18,0.4,1.4
채권,A_above,615902.1,1397.4,0.23,1.7,3.8
채권,IG,1159037.9,4490.2,0.39,0.4,1.8
채권,HY,123582.7,-35.7,-0.03,-0.0,1.2
채권,Long,243269.0,-1707.0,-0.7,1.7,3.8
채권,Intermediate,356440.8,1050.1,0.29,0.1,1.2
채권,Low,323311.9,1121.4,0.35,-0.4,-0.0
원자재,Diversified,20495.3,-47.4,-0.23,2.0,5.2
원자재,Precious_metals,281464.0,726.1,0.26,1.8,7.7
원자재,Energy&Fuel,1109.4,115.2,10.38,-2.1,-3.2
원자재,Industrial_metals,1299.2,-5.6,-0.43,2.8,4.2
원자재,Agriculture,883.5,22.2,2.51,1.5,7.6
대체,multi_strategy,700.1,0.0,0.0,0.1,1.4
대체,macro,151423.1,1172.2,0.77,-5.6,2.3
대체,equity_hedge,1901.5,27.1,1.43,,
