,Stock,Bond,Commodity
2024-01-19 00:00:00,9017,3329,-448
2024-01-26 00:00:00,27987,4429,-25
2024-02-02 00:00:00,10503,4402,-458
2024-02-09 00:00:00,30068,3010,-890
2024-02-16 00:00:00,14230,1323,-758
2024-02-23 00:00:00,13083,4839,-1131
2024-03-01 00:00:00,23602,2488,-317
2024-03-08 00:00:00,21780,7877,-966
2024-03-15 00:00:00,53318,1558,1095
2024-03-22 00:00:00,-3874,4437,735
2024-03-29 00:00:00,25164,2864,599
2024-04-05 00:00:00,16371,8391,396
2024-04-12 00:00:00,-6977,3803,-699
2024-04-19 00:00:00,9995,798,-229
2024-04-26 00:00:00,8495,5568,-1445
2024-05-03 00:00:00,8900,8109,-246
2024-05-10 00:00:00,18344,9606,-566
2024-05-17 00:00:00,17108,6918,1205
2024-05-24 00:00:00,6486,1425,-800
2024-05-31 00:00:00,13580,6331,681
2024-06-07 00:00:00,9501,8888,593
2024-06-14 00:00:00,10556,5310,-546
2024-06-21 00:00:00,40812,6792,265
2024-06-28 00:00:00,20208,5664,473
2024-07-05 00:00:00,3791,7963,710
2024-07-12 00:00:00,38473,12161,414
2024-07-19 00:00:00,44409,9759,1030
2024-07-26 00:00:00,13933,10143,1336
2024-08-02 00:00:00,19890,6358,-212
2024-08-09 00:00:00,7206,3800,-1189
2024-08-16 00:00:00,17584,9684,196
2024-08-23 00:00:00,21060,9842,392
2024-08-30 00:00:00,12441,8042,690
2024-09-06 00:00:00,7573,10134,53
2024-09-13 00:00:00,2254,10183,1009
2024-09-20 00:00:00,25972,4822,-295
2024-09-27 00:00:00,39593,6030,826
2024-10-04 00:00:00,24214,7295,499
2024-10-11 00:00:00,32509,6305,-360
2024-10-18 00:00:00,22118,8585,2456
2024-10-25 00:00:00,10804,2500,1383
2024-11-01 00:00:00,14247,10764,191
2024-11-08 00:00:00,56113,8956,-604
2024-11-15 00:00:00,34704,-17,-1764
2024-11-22 00:00:00,14101,9326,605
2024-11-29 00:00:00,24885,3730,-292
2024-12-06 00:00:00,16030,7332,-904
2024-12-13 00:00:00,31127,9114,-706
2024-12-20 00:00:00,64990,-723,736
2024-12-27 00:00:00,-8030,5090,-249
2025-01-03 00:00:00,31212,6531,-356
2025-01-10 00:00:00,13686,9261,507
2025-01-17 00:00:00,27398,7371,1764
2025-01-24 00:00:00,5965,6440,-1503
2025-01-31 00:00:00,8860,7267,1109
2025-02-07 00:00:00,10298,8431,820
